,Synap_1,Synap_2,VGlut1_1,VGlut1_2,VGlut2,VGlut3,PSD,Glur2,NMDAR,NR2B,GAD,Vgat,PV,Gephryn,GABAR,GABABR,CR1,5HT1A,NOS,TH,VAChT,Synpod,Tubulin,DAPI
Synap_1,0,194.237601,197.9311453,180.6858194,223.9913761,202.7431052,197.428948,236.4013267,242.1885719,228.5976153,276.9892456,258.9284907,310.5267883,335.3387494,270.6422535,219.8599934,289.6639308,262.5541189,232.4312575,220.399099,295.4526591,271.7320226,290.0367651,780.3716819
Synap_2,260.5956569,0,257.6210449,231.1154755,238.3561072,216.7796764,237.3284568,262.9233261,260.70466,258.1128599,277.7376132,245.4671153,308.5438286,340.5974235,279.7516009,250.2696487,293.6615589,266.2172689,243.2564846,229.4215368,299.8147595,272.8658752,301.0986257,743.8240618
VGlut1_1,200.0146289,198.5323723,0,181.2718073,225.973811,209.3390433,204.9403186,242.7602129,249.8479183,241.5280956,287.9976376,270.0715661,313.4262578,339.8205648,274.1821791,206.3071377,294.0721546,269.0650122,239.4061131,226.4101157,298.2665143,272.3641132,294.4160606,775.379834
VGlut1_2,230.7488903,223.7124137,227.1843585,0,236.7657664,210.3401623,200.4070317,253.2221114,251.620702,253.0252944,289.6273034,275.3000201,312.5550073,342.4906664,278.948988,235.0816893,294.4565577,272.4108451,234.1704207,227.4872888,299.8876904,273.729623,284.3095435,769.7116322
VGlut2,303.1914485,242.5753866,292.7141478,249.2350658,0,224.7145172,244.2657124,175.2364871,262.7404006,262.2793977,296.2721001,276.3795064,306.1326879,343.2662778,268.3565121,249.9057034,293.7023736,273.0589045,248.3033725,239.4182159,302.0854746,271.2916192,310.3992255,732.3817705
VGlut3,294.2295765,240.6826797,291.3147177,243.5157486,244.4792798,0,253.3385515,269.087918,240.746174,264.0456179,280.6289852,269.5764609,302.8520495,334.7179693,274.3755243,257.4593564,264.6928967,272.586925,224.9613471,199.6334596,283.6926628,268.8011558,298.0650617,725.1960741
PSD,251.6569689,230.2103176,255.1798499,197.6546843,229.9034997,221.34995,0,247.2719457,252.5820828,244.8197598,290.9929656,273.8867787,312.108674,340.988471,275.4041373,244.1699905,300.0779455,274.3449087,237.3187427,235.2585464,302.0824134,271.2412819,252.9456754,769.6056737
Glur2,267.1010486,233.9544935,266.2817216,231.1826199,123.5716851,215.3798524,223.7176552,0,241.9029112,245.9415749,291.3178957,265.5603523,309.0680297,337.6060132,247.6322851,221.4712018,293.5590524,267.9955054,241.005202,229.8806193,295.7522062,263.7772899,296.4535459,753.4157138
NMDAR,282.9168315,238.8888302,282.9226631,237.149256,235.6094291,194.2450313,238.1806979,250.9307285,0,243.4127175,279.700053,266.5929383,303.1873602,334.884506,264.5883242,246.2210672,271.9667757,261.8401921,222.5192119,199.3140573,270.7398876,256.5209034,295.7621297,726.8081076
NR2B,276.8029348,232.8303574,275.061232,234.3074994,231.2207177,213.7492444,223.846897,250.0596821,238.9361627,0,288.011636,269.5360719,305.2334677,339.1949101,269.9583023,244.709557,290.19083,267.9905013,237.9839246,228.7208106,295.9313029,268.2986911,312.3344556,723.1835225
GAD,289.3251614,231.6448955,302.4506848,257.8378061,253.1658636,217.0178138,260.1396292,279.6385711,261.8812388,273.0599423,0,243.7377566,300.0024175,333.3264161,281.6433904,269.0471599,289.4062426,265.756669,240.71383,228.4375013,295.5497947,272.7777741,294.8877305,738.2031571
Vgat,290.107953,204.7046796,295.6321346,251.5944257,240.1763652,212.1435281,249.2825487,263.0104787,255.1029213,262.4007747,254.0114212,0,297.9084993,331.6759778,261.4313093,250.1084049,283.7062615,256.6289418,240.594085,224.9625835,296.0389228,273.243014,304.9628305,727.8207105
PV,337.1191717,256.0850419,326.530043,270.2077637,251.4363291,227.4134832,271.6311121,286.1091905,274.9818232,278.4936175,288.0366153,279.6979732,0,335.9146616,288.8680609,279.7847574,289.3613584,280.7544976,249.1933059,242.6491258,303.0176668,274.488806,317.5490898,699.3626418
Gephryn,307.469918,246.636974,306.7475213,259.327711,246.8387915,215.2166621,256.5243855,271.9869228,264.3985645,270.8956817,280.5594039,270.8394551,293.0294568,0,269.0050659,260.5051246,291.348146,274.4426412,244.1491673,236.1059731,299.2399441,271.7198236,298.6779924,731.7384821
GABAR,302.4740912,243.8491917,295.7924967,250.8715361,225.5508499,215.5581522,246.5817691,239.545861,250.4127551,259.4760492,286.2767116,256.5538013,304.6748555,330.6094308,0,225.4092428,288.3572021,263.0809161,241.4691352,229.5561596,291.348973,269.2411555,302.0406116,724.1239676
GABABR,260.884241,227.4800854,239.9789502,219.1876907,219.3127244,209.8322732,227.0291067,228.8667782,245.8916484,247.8671157,286.5819821,260.067968,308.2965484,334.0294268,243.2348551,0,288.4728449,265.003781,238.4136392,225.8703989,294.8045558,269.4063796,299.4759214,744.8508421
