,Synap_1,Synap_2,VGlut1_1,VGlut1_2,VGlut2,VGlut3,PSD,Glur2,NMDAR,NR2B,GAD,Vgat,PV,Gephryn,GABAR,GABABR,CR1,5HT1A,NOS,TH,VAChT,Synpod,Tubulin,DAPI
Synap_1,0,198.9974874,172.0465053,157.7973384,223.6067977,200,198.9974874,232.594067,234.3074903,223.6067977,263.8181192,244.1311123,306.757233,323.8826948,263.8181192,211.896201,290,244.1311123,232.594067,223.6067977,297.3213749,263.8181192,291.3760457,752.9276194
Synap_2,223.6067977,0,232.594067,223.6067977,232.594067,211.896201,232.594067,244.1311123,244.1311123,244.1311123,263.8181192,234.3074903,306.757233,323.8826948,263.8181192,234.3074903,291.3760457,253.179778,234.3074903,223.6067977,297.3213749,263.8181192,291.3760457,720.8328516
VGlut1_1,172.0465053,198.9974874,0,172.0465053,223.6067977,211.896201,200,234.3074903,234.3074903,234.3074903,290,263.8181192,308.058436,331.0589071,263.8181192,200,291.3760457,263.8181192,234.3074903,223.6067977,297.3213749,263.8181192,291.3760457,750.7329752
VGlut1_2,210,223.6067977,200,0,232.594067,211.896201,198.9974874,234.3074903,234.3074903,234.3074903,291.3760457,263.8181192,306.757233,331.0589071,263.8181192,232.594067,291.3760457,263.8181192,232.594067,223.6067977,297.3213749,263.8181192,282.8427125,739.1887445
VGlut2,253.179778,234.3074903,263.8181192,234.3074903,0,223.6067977,234.3074903,122.0655562,244.1311123,253.179778,297.3213749,263.8181192,306.757233,331.0589071,263.8181192,234.3074903,291.3760457,263.8181192,234.3074903,234.3074903,300,263.8181192,291.3760457,710.5631569
VGlut3,263.8181192,234.3074903,263.8181192,234.3074903,234.3074903,0,234.3074903,263.8181192,232.594067,253.179778,280,263.8181192,300,323.8826948,263.8181192,244.1311123,244.1311123,263.8181192,223.6067977,198.9974874,282.8427125,263.8181192,290,707.1067812
PSD,223.6067977,223.6067977,232.594067,198.9974874,223.6067977,223.6067977,0,234.3074903,234.3074903,234.3074903,291.3760457,263.8181192,306.757233,331.0589071,263.8181192,234.3074903,297.3213749,263.8181192,234.3074903,232.594067,300,263.8181192,244.1311123,741.3501197
Glur2,234.3074903,232.594067,234.3074903,223.6067977,100,211.896201,211.896201,0,232.594067,234.3074903,291.3760457,263.8181192,306.757233,323.8826948,234.3074903,211.896201,291.3760457,263.8181192,234.3074903,223.6067977,291.3760457,253.179778,291.3760457,728.0109889
NMDAR,244.1311123,234.3074903,253.179778,232.594067,232.594067,198.9974874,232.594067,234.3074903,0,234.3074903,280,253.179778,300,323.8826948,253.179778,234.3074903,263.8181192,253.179778,223.6067977,198.9974874,263.8181192,244.1311123,290,707.1067812
NR2B,234.3074903,232.594067,234.3074903,223.6067977,232.594067,211.896201,211.896201,234.3074903,232.594067,0,290,263.8181192,306.757233,323.8826948,263.8181192,234.3074903,290,263.8181192,234.3074903,223.6067977,297.3213749,263.8181192,297.3213749,702.9224708
GAD,253.179778,232.594067,290,244.1311123,234.3074903,211.896201,244.1311123,263.8181192,244.1311123,263.8181192,0,234.3074903,297.3213749,323.8826948,282.8427125,263.8181192,290,253.179778,234.3074903,223.6067977,297.3213749,263.8181192,290,713.8627319
Vgat,253.179778,200,263.8181192,234.3074903,234.3074903,211.896201,234.3074903,253.179778,234.3074903,253.179778,234.3074903,0,291.3760457,316.227766,253.179778,234.3074903,280,244.1311123,234.3074903,223.6067977,297.3213749,263.8181192,291.3760457,704.5565982
PV,297.3213749,244.1311123,306.757233,253.179778,234.3074903,223.6067977,253.179778,290,263.8181192,263.8181192,290,263.8181192,0,323.8826948,290,263.8181192,290,280,234.3074903,234.3074903,300,263.8181192,291.3760457,673.8694236
Gephryn,280,234.3074903,291.3760457,244.1311123,234.3074903,211.896201,244.1311123,263.8181192,253.179778,263.8181192,280,263.8181192,291.3760457,0,263.8181192,244.1311123,290,263.8181192,234.3074903,232.594067,297.3213749,263.8181192,290,707.1774883
GABAR,263.8181192,234.3074903,263.8181192,234.3074903,223.6067977,211.896201,234.3074903,234.3074903,234.3074903,244.1311123,290,253.179778,306.757233,323.8826948,0,223.6067977,290,253.179778,234.3074903,223.6067977,291.3760457,263.8181192,290,703.4912935
GABABR,232.594067,223.6067977,211.896201,211.896201,211.896201,210,223.6067977,223.6067977,234.3074903,234.3074903,290,253.179778,306.757233,323.8826948,234.3074903,0,290,253.179778,234.3074903,223.6067977,291.3760457,263.8181192,291.3760457,721.1102551
CR1,282.8427125,234.3074903,290,234.3074903,234.3074903,172.0465053,244.1311123,263.8181192,234.3074903,263.8181192,282.8427125,263.8181192,297.3213749,323.8826948,263.8181192,253.179778,0,263.8181192,223.6067977,200,263.8181192,263.8181192,297.3213749,665.2067348
5HT1A,280,232.594067,282.8427125,234.3074903,234.3074903,211.896201,234.3074903,253.179778,234.3074903,253.179778,282.8427125,253.179778,300,323.8826948,263.8181192,244.1311123,282.8427125,0,234.3074903,232.594067,297.3213749,263.8181192,300,695.413546
NOS,263.8181192,234.3074903,282.8427125,234.3074903,234.3074903,200,234.3074903,263.8181192,234.3074903,263.8181192,290,263.8181192,306.757233,323.8826948,280,253.179778,263.8181192,263.8181192,0,211.896201,290,263.8181192,263.8181192,710.5631569
TH,263.8181192,234.3074903,263.8181192,234.3074903,234.3074903,172.0465053,234.3074903,263.8181192,223.6067977,253.179778,263.8181192,263.8181192,300,323.8826948,263.8181192,244.1311123,253.179778,263.8181192,223.6067977,0,244.1311123,234.3074903,290,702.9224708
VAChT,282.8427125,234.3074903,290,234.3074903,234.3074903,200,244.1311123,263.8181192,232.594067,263.8181192,282.8427125,263.8181192,300,323.8826948,263.8181192,253.179778,263.8181192,263.8181192,232.594067,157.7973384,0,211.896201,291.3760457,698.8562084
Synpod,291.3760457,244.1311123,291.3760457,244.1311123,234.3074903,223.6067977,244.1311123,263.8181192,244.1311123,263.8181192,291.3760457,290,306.757233,344.0930107,290,263.8181192,297.3213749,282.8427125,234.3074903,200,234.3074903,0,291.3760457,703.4912935
Tubulin,306.757233,253.179778,306.757233,234.3074903,253.179778,234.3074903,211.896201,290,282.8427125,297.3213749,297.3213749,297.3213749,308.058436,345.8323293,297.3213749,290,308.058436,297.3213749,234.3074903,234.3074903,308.058436,282.8427125,0,737.6313442
DAPI,519.2301994,290,422.3742416,313.6877428,253.179778,211.896201,316.227766,316.227766,290,263.8181192,316.227766,300,263.8181192,367.2873534,306.757233,306.757233,253.179778,253.179778,253.179778,234.3074903,300,232.594067,412.3105626,0
